cords x,cords y
-675.0,427.5
-636.76,404.15
-600.0,381.7
-564.71,360.11
-530.84,339.39
-498.38,319.5
-467.28,300.43
-437.52,282.17
-409.08,264.68
-381.91,247.97
-356.0,232.0
-331.3,216.76
-307.8,202.24
-285.46,188.4
-264.24,175.25
-244.12,162.75
-225.08,150.89
-207.07,139.66
-190.08,129.02
-174.06,118.98
-159.0,109.5
-144.85,100.57
-131.6,92.18
-119.2,84.29
-107.64,76.91
-96.88,70.0
-86.88,63.55
-77.62,57.55
-69.08,51.96
-61.21,46.79
-54.0,42.0
-47.4,37.58
-41.4,33.52
-35.95,29.78
-31.04,26.37
-26.62,23.25
-22.68,20.41
-19.17,17.84
-16.08,15.5
-13.36,13.4
-11.0,11.5
-8.95,9.79
-7.2,8.26
-5.71,6.87
-4.44,5.63
-3.38,4.5
-2.48,3.47
-1.72,2.53
-1.08,1.64
-0.51,0.81
0.0,0.0
0.5,-0.8
1.0,-1.6
1.55,-2.44
2.16,-3.31
2.88,-4.25
3.72,-5.27
4.73,-6.38
5.92,-7.62
7.34,-8.98
9.0,-10.5
10.95,-12.19
13.2,-14.06
15.8,-16.15
18.76,-18.45
22.12,-21.0
25.92,-23.81
30.18,-26.89
34.92,-30.28
40.19,-33.97
46.0,-38.0
52.4,-42.38
59.4,-47.12
67.05,-52.26
75.36,-57.79
84.38,-63.75
94.12,-70.15
104.63,-77.0
115.92,-84.34
128.04,-92.16
141.0,-100.5
154.84,-109.37
169.6,-118.78
185.3,-128.77
201.96,-139.33
219.62,-150.5
238.32,-162.29
258.08,-174.71
278.92,-187.8
300.89,-201.55
324.0,-216.0
348.29,-231.16
373.8,-247.04
400.55,-263.68
428.56,-281.07
457.88,-299.25
488.52,-318.23
520.53,-338.02
553.92,-358.66
588.74,-380.14
